LocationType,LocationName,Address,Website,Phone,CouncilDistrict,GeoLat,GeoLong
Parks,DAVE POTELL MEMORIAL SPORTS FACILITY,"11455 Magnolia Blvd., North Hollywood, CA 91601",https://www.laparks.org/park/dave-potell-memorial-sports-facility,(818) 763-5126,2,34.1649315,-118.3816416
Recreation Center,DAVID M. GONZALES RECREATION CENTER AKA PACOIMA,"10943 Herrick Ave, Pacoima, CA 91331",https://www.laparks.org/reccenter/david-m-gonzales,(818) 899-1950,7,34.2691876,-118.4129234
Parks,DE GARMO PARK,"10145 Arminta St., Sun Valley, CA 91352",https://www.laparks.org/park/de-garmo,(818) 756-8189,2,34.215039,-118.353476
Playground,DE GARMO PARK,"10145 Arminta St., Sun Valley, CA 91352",https://www.laparks.org/park/de-garmo,(818) 756-8189,2,34.215039,-118.353476
Parks,DE LONGPRE PARK,"1350 N. Cherokee Ave., Los Angeles, CA 90028",https://www.laparks.org/park/de-longpre,(213) 485-4833,13,34.0955901,-118.3352317
Parks,DE NEVE SQUARE PARK,"314 Beverly Glen Blvd., Los Angeles, CA 90077",https://www.laparks.org/park/de-neve-square,(310) 836-1040,5,34.0841764,-118.4349605
Parks,DEARBORN PARK,"17141 Nordhoff St., Northridge, CA 91325",https://www.laparks.org/park/dearborn,(818) 756-8189,12,34.2365558,-118.5079272
Playground,DEARBORN PARK,"17141 Nordhoff St., Northridge, CA 91325",https://www.laparks.org/park/dearborn,(818) 756-8189,12,34.2365558,-118.5079272
Aquatic,DEBS LAKE,"4235 Monterey Rd., Los Angeles, CA 90032",https://www.laparks.org/aquatic/lake/debs-lake,(213) 485-4833,1,34.0910356,-118.1935566
Lake,DEBS LAKE,"4235 Monterey Rd., Los Angeles, CA 90032",https://www.laparks.org/aquatic/lake/debs-lake,(213) 485-4833,1,34.0910356,-118.1935566
Aquatic,DEL REY LAGOON,"6660 Esplanade Place, Playa Del Rey, CA 90293",https://www.laparks.org/aquatic/lake/del-rey-lagoon,(310) 836-1040,11,33.9604744,-118.4500966
Lake,DEL REY LAGOON,"6660 Esplanade Place, Playa Del Rey, CA 90293",https://www.laparks.org/aquatic/lake/del-rey-lagoon,(310) 836-1040,11,33.9604744,-118.4500966
Parks,DEL REY LAGOON,"6660 Esplanade Place, Playa Del Rey, CA 90293",https://www.laparks.org/park/del-rey-lagoon,(310) 836-1040,11,33.9611374,-118.4511745
Parks,DELANO RECREATION CENTER,"15100 Erwin St., Van Nuys, CA 91411",https://www.laparks.org/reccenter/delano,(818) 756-8529,6,34.1830092,-118.4629133
Recreation Center,DELANO RECREATION CENTER,"15100 Erwin St., Van Nuys, CA 91411",https://www.laparks.org/reccenter/delano,(818) 756-8529,6,34.1830092,-118.4629133
Parks,DENKER AND TORRANCE PARK,"1490 W Torrance Blvd, Torrance, CA 90502",https://www.laparks.org/park/denker-and-torrance-park,(310) 584-7598,15,33.8420119,-118.2899286
Recreation Center,DENKER RECREATION CENTER,"1550 W. 35th Place, Los Angeles, CA 90018",https://www.laparks.org/reccenter/denker,(323) 733-8367,8,34.0236888,-118.3046918
Parks,DEVONSHIRE ARLETA PARK,"14215 West Devonshire St., Pacoima, CA 91331",https://www.laparks.org/park/devonshire-arleta-park,(818) 834-5172,6,34.2576505,-118.4444216
Banquet,DEVONSHIRE HOUSE,"18300 Lemarsh St., Northridge, CA 91325",https://www.laparks.org/reccenter/devonshire-house,(818) 349-7341,12,34.25685,-118.544566
Recreation Center,DEVONSHIRE HOUSE,"18300 Lemarsh St., Northridge, CA 91325",https://www.laparks.org/reccenter/devonshire-house,(818) 349-7341,12,34.25685,-118.544566
Parks,DEVONWOOD PARK,"10230 Woodman Ave., Panorama City, CA 91345",https://www.laparks.org/park/devonwood,(818) 756-8189,7,34.2559315,-118.4539122
Outdoor Fitness,DOROTHY & BENJAMIN SMITH PARK,"7020 Franklin Ave., Los Angeles, CA 90028",https://www.laparks.org/park/dorothy-benjamin-smith,(213) 485-5572,13,34.1041074,-118.3423076
Parks,DOROTHY & BENJAMIN SMITH PARK,"7020 Franklin Ave., Los Angeles, CA 90028",https://www.laparks.org/park/dorothy-benjamin-smith,(213) 485-5572,13,34.1041074,-118.3423076
Summer Pool,DOWNEY POOL,"1775 N. Spring St., Los Angeles, CA 90031",https://www.laparks.org/aquatic/summer/downey-pool,(323) 227-5025,1,34.0712338,-118.2233901
Parks,DOWNEY RECREATION CENTER,"1772 N. Spring St., Los Angeles, CA 90031",https://www.laparks.org/reccenter/downey,(323) 225-7100,1,34.0709722,-118.2239291
Recreation Center,DOWNEY RECREATION CENTER,"1772 N. Spring St., Los Angeles, CA 90031",https://www.laparks.org/reccenter/downey,(323) 225-7100,1,34.0709722,-118.2239291
Museums,DRUM BARRACKS CIVIL WAR MUSEUM,"1052 Banning Blvd., Wilmington, CA 90744",https://www.laparks.org/museum/drum-barracks-civil-war-museum,(310) 548-7509,15,33.7844404,-118.2575572
Outdoor Fitness,DRUM BARRACKS PARK - WARREN OIL EXPANSION,"1037 N Banning Blvd Los Angeles, CA 90744",https://www.laparks.org/park/drum-barracks-park-warren-oil-expansion,(310) 548-7509,15,33.7843047,-118.2582483
Parks,DRUM BARRACKS PARK - WARREN OIL EXPANSION,"1037 N Banning Blvd Los Angeles, CA 90744",https://www.laparks.org/park/drum-barracks-park-warren-oil-expansion,(310) 548-7509,15,33.7843047,-118.2582483
Dog Parks,Eagle Rock Dog Park,"1100 Eagle Vista Drive Los Angeles, CA 90041",https://www.laparks.org/dogpark/eagle-rock-dog-park,,14,34.142669,-118.1913725
Parks,EAGLE ROCK HILLSIDE PARK,"North of Ventura Freeway and South of Valle Vista, Los Angeles, CA 9004",https://www.laparks.org/park/eagle-rock-hillside,(213) 485-4833,14,34.1489979,-118.2022905
Free Tennis,EAGLE ROCK RECREATION CENTER,"1100 Eagle Vista Dr., Los Angeles, CA 90041",https://www.laparks.org/reccenter/eagle-rock,(323) 257-6948,14,34.1426646,-118.1891838
Outdoor Fitness,EAGLE ROCK RECREATION CENTER,"1100 Eagle Vista Dr., Los Angeles, CA 90041",https://www.laparks.org/reccenter/eagle-rock,(323) 257-6948,14,34.1426646,-118.1891838
Recreation Center,EAGLE ROCK RECREATION CENTER,"1100 Eagle Vista Dr., Los Angeles, CA 90041",https://www.laparks.org/reccenter/eagle-rock,(323) 257-6948,14,34.1426646,-118.1891838
Parks,EAST LOS ANGELES PARK,"2500 N. Eastlake Ave., Los Angeles, CA 90031",https://www.laparks.org/park/east-los-angeles,(213) 485-4833,1,34.0769041,-118.2075675
Recreation Center,EAST WILMINGTON GREENBELT COMMUNITY CENTER,"918 North Sanford Ave., Wilmington, CA 90744",https://www.laparks.org/reccenter/east-wilmington-greenbelt-community,(310) 522-2064,15,33.7828672,-118.2501975
Parks,EAST WILMINGTON GREENBELT POCKET PARK,"1300 E. O St., Wilmington, CA 90744",https://www.laparks.org/park/east-wilmington-greenbelt-pocket,(310) 548-7598,15,33.7927399,-118.2482034
Aquatic,ECHO PARK CAFE CONCESSION,"751 N. Echo Park Ave., Los Angeles, CA 90026",https://www.laparks.org/aquatic/echo-cafe-concession,(213) 481-8495,13,34.0733229,-118.2599956
Year Round Pool,ECHO PARK INDOOR POOL,"1419 Colton St., Los Angeles, CA 90026",https://www.laparks.org/aquatic/year-round/echo-park-indoor-pool,(213) 481-2640,1,34.0644491,-118.259268
Aquatic,ECHO PARK LAKE,"751 Echo Park Ave., Los Angeles, CA 90026",https://www.laparks.org/aquatic/lake/echo-park-lake,,13,34.0733229,-118.2599956
Lake,ECHO PARK LAKE,"751 Echo Park Ave., Los Angeles, CA 90026",https://www.laparks.org/aquatic/lake/echo-park-lake,,13,34.0733229,-118.2599956
Parks,ECHO PARK LAKE,"751 Echo Park Ave., Los Angeles, CA 90026",https://www.laparks.org/aquatic/lake/echo-park-lake,,13,34.0733229,-118.2599956
Aquatic,ECHO PARK PEDAL BOATS CONCESSION,"751 N. Echo Park Ave., Los Angeles, CA 90026",https://www.laparks.org/aquatic/echo-pedal-boats-concession,(805) 650-7770 & (213) 444-9445,13,34.0733229,-118.2599956
Parks,EDDLESTON PARK,"11662 Reseda Blvd, Porter Ranch, CA 91326",https://www.laparks.org/park/eddleston,(818) 756-8189,12,34.2856462,-118.5344121
Parks,EL PASEO DE CAHUENGA PARK,"3300 Cahuenga Blvd., Los Angeles, CA 90068",https://www.laparks.org/park/el-paseo-de-cahuenga,(818) 756-8189,4,34.1310985,-118.3503663
Outdoor Fitness,EL SERENO ARROYO PLAYGROUND,"5520 Concord Ave, Los Angeles, CA 90032",https://www.laparks.org/park/el-sereno-arroyo-playground,(323) 485-4833,14,34.0800756,-118.1616577
Parks,EL SERENO ARROYO PLAYGROUND,"5520 Concord Ave, Los Angeles, CA 90032",https://www.laparks.org/park/el-sereno-arroyo-playground,(323) 485-4833,14,34.0800756,-118.1616577
Free Tennis,EL SERENO RECREATION CENTER,"4721 Klamath St., Los Angeles, CA 90032",https://www.laparks.org/reccenter/el-sereno,(323) 225-3517,14,34.0758576,-118.1817955
Outdoor Fitness,EL SERENO RECREATION CENTER,"4721 Klamath St., Los Angeles, CA 90032",https://www.laparks.org/reccenter/el-sereno,(323) 225-3517,14,34.0758576,-118.1817955
Recreation Center,EL SERENO RECREATION CENTER,"4721 Klamath St., Los Angeles, CA 90032",https://www.laparks.org/reccenter/el-sereno,(323) 225-3517,14,34.0758576,-118.1817955
Senior Citizen Centers,EL SERENO SENIOR CITIZEN CENTER,"4818 Klamath Place, Los Angeles, CA 90032",https://www.laparks.org/scc/el-sereno,(323) 222-2040,14,34.0750438,-118.1798948
Skate Parks,El Sereno Skate Park,"4721 Klamath Place, Los Angeles, CA 90032",https://www.laparks.org/skatepark/el-sereno-skate,(323) 225-3517,14,34.0747896,-118.1819722
Year Round Pool,ELEANOR GREEN ROBERTS AQUATIC CENTER,"4526 W Pico Blvd., Los Angeles, CA 90019",https://www.laparks.org/aquatic/year-round/eleanor-green-robert-aquatic,(323) 936-8483 or (323) 525-0258,10,34.0485237,-118.3341314
Free Tennis,ELYSIAN PARK,"929 Academy Road, Los Angeles, CA 90012",https://www.laparks.org/park/elysian,(213) 485-5054,1,34.0808996,-118.2378951
Hiking,ELYSIAN PARK,"929 Academy Road, Los Angeles, CA 90012",https://www.laparks.org/park/elysian,(213) 485-5054,1,34.0808996,-118.2378951
Parks,ELYSIAN PARK,"929 Academy Road, Los Angeles, CA 90012",https://www.laparks.org/park/elysian,(213) 485-5054,1,34.0808996,-118.2378951
Recreation Center,ELYSIAN PARK RECREATION CENTER,"929 Academy Rd., Los Angeles, CA 90012",https://www.laparks.org/reccenter/elysian-therapeutic,(323) 226-1404 / Voicemail Available on (323) 226-1402,1,34.0808996,-118.2378951
Recreation Center,ELYSIAN VALLEY RECREATION CENTER,"1811 Ripple St., Los Angeles, CA 90039",https://www.laparks.org/reccenter/elysian-valley,(323) 666-5058,13,34.0990822,-118.2449893
Recreation Center,ENCINO COMMUNITY CENTER,"4935 Balboa Blvd., Encino, CA 91316",https://www.laparks.org/reccenter/encino-community,(818) 995-1690,4,34.1602917,-118.5014016
Parks,ENCINO GLEN,"16821 Burbank Blvd., Encino, CA 91436",https://www.laparks.org/park/encino-glen,(818) 789-1919,6,34.1724088,-118.4980763
Golf,Encino Golf Course,"16821 Burbank Blvd. Encino, CA 91436",https://www.laparks.org/golf/encino-golf-course,,6,34.17009,-118.49711
Free Tennis,ENCINO PARK,"16953 Ventura Blvd., Encino, CA 91316",https://www.laparks.org/park/encino,(818) 995-1690,4,34.1596024,-118.5024872
Parks,ENCINO PARK,"16953 Ventura Blvd., Encino, CA 91316",https://www.laparks.org/park/encino,(818) 995-1690,4,34.1596024,-118.5024872
Hiking,ERNEST E. DEBS REGIONAL PARK,"4235 Monterey Road, Los Angeles, CA 90032",https://www.laparks.org/park/ernest-e-debs-regional,(213) 485-5054,1,34.0910356,-118.1935566
Parks,ERNEST E. DEBS REGIONAL PARK,"4235 Monterey Road, Los Angeles, CA 90032",https://www.laparks.org/park/ernest-e-debs-regional,(213) 485-5054,1,34.0910356,-118.1935566
Parks,EVERETT TRIANGLE PARK (A.K.A TEAR DROP PARK),"Everett St. One Block North of Sunset, Echo Park, CA 90026",https://www.laparks.org/park/everett,(213) 485-4833,1,34.0699053,-118.2485375
Outdoor Fitness,EVERGREEN RECREATION CENTER,"2844 East 2nd St., Los Angeles, CA 90033",https://www.laparks.org/reccenter/evergreen,(323) 262-0397,14,34.0391044,-118.2047348
Recreation Center,EVERGREEN RECREATION CENTER,"2844 East 2nd St., Los Angeles, CA 90033",https://www.laparks.org/reccenter/evergreen,(323) 262-0397,14,34.0391044,-118.2047348
Senior Citizen Centers,EXPO CENTER - Ahmanson Senior Citizen Center,"3990 Bill Robertson Lane, Los Angeles, CA 90037",https://www.laparks.org/scc/ahmanson,(213) 763-0118,9,34.0116243,-118.2900852
Banquet,EXPO CENTER - EXPOSITION PARK ROSE GARDEN,"701 State Drive, Los Angeles, CA 90037",https://www.laparks.org/park/exposition-rose-garden,(213) 763-0114 / 214,9,34.0173894,-118.2859161
Horticulture,EXPO CENTER - EXPOSITION PARK ROSE GARDEN,"701 State Drive, Los Angeles, CA 90037",https://www.laparks.org/park/exposition-rose-garden,(213) 763-0114 / 214,9,34.0173894,-118.2859161
Parks,EXPO CENTER - EXPOSITION PARK ROSE GARDEN,"701 State Drive, Los Angeles, CA 90037",https://www.laparks.org/park/exposition-rose-garden,(213) 763-0114 / 214,9,34.0173894,-118.2859161
Year Round Pool,EXPO CENTER - LA84 FOUNDATION/JOHN C. ARGUE SWIM STADIUM,"3980 Bill Robertson Lane, Los Angeles, CA 90037",https://www.laparks.org/aquatic/john-c-argue-swim-stadium,(213) 763-0129,9,34.0121136,-118.2900832
Child Care,EXPO CENTER - RALPH M. PARSONS PRESCHOOL,"841 Martin Luther King Blvd., Los Angeles, CA 90037",https://www.laparks.org/childcare/ralph-m-parsons-preschool,(213) 763-5119,9,34.0122477,-118.2895358
Recreation Center,EXPO CENTER - ROY A. ANDERSON RECREATION CENTER,"3980 Bill Robertson Lane, Los Angeles, CA 90037",https://www.laparks.org/reccenter/roy-anderson,(213) 763-0114,9,34.0121136,-118.2900829
Senior Citizen Centers,FAIRFAX SENIOR CITIZEN CENTER,"7929 Melrose Ave. Los Angeles, CA 90046",https://www.laparks.org/scc/fairfax,(323) 653-1824,5,34.0840325,-118.3623384
Parks,FEHLHABER-HOUK PARK,"9521 Tujunga Canyon Blvd., Tujunga, CA 91042",https://www.laparks.org/park/fehlhaber-houk,(818) 756-8189,7,34.240688,-118.2736751
Senior Citizen Centers,FELICIA MAHOOD MULTIPURPOSE CENTER,"11338 Santa Monica Blvd., Los Angeles, CA 90025",https://www.laparks.org/multipurpose/felicia-mahood,(310) 479-4119,11,34.0457775,-118.4501208
Summer Pool,FERNANGELES POOL,"8851 Laurel Canyon Blvd. Sun Valley, CA 91352",https://www.laparks.org/aquatic/summer/fernangeles-pool,(818) 771-0986,6,34.2297984,-118.4014515
Playground,FERNANGELES RECREATION CENTER,"8851 Laurel Canyon Blvd., Sun Valley, CA 91352",https://www.laparks.org/reccenter/fernangeles,(818) 767-4171,6,34.2297984,-118.4014515
Recreation Center,FERNANGELES RECREATION CENTER,"8851 Laurel Canyon Blvd., Sun Valley, CA 91352",https://www.laparks.org/reccenter/fernangeles,(818) 767-4171,6,34.2297984,-118.4014515
Parks,FIELD OF DREAMS,"Corner of Gaffey Street and Westmont, San Pedro, CA 90731",https://www.laparks.org/park/field-dreams,(310) 548-7705,15,33.7621471,-118.2910315
Museums,FORT MACARTHUR MUSEUM,"3601 Gaffey Street, San Pedro, CA 90731",https://www.laparks.org/museum/fort-macarthur-museum,,15,33.7123818,-118.2941448
Parks,FOUR OAKS PARK,"7499 Melba Ave, West Hills, CA 91307",https://www.laparks.org/park/four-oaks,(818) 341-6595,3,34.2054804,-118.6350479
Outdoor Fitness,FOX AND LAUREL PARK,"14353 Fox St, San Fernando, CA 91340",https://www.laparks.org/park/fox-and-laurel-park,(818) 756-8189,7,34.2715727,-118.4461409
Parks,FOX AND LAUREL PARK,"14353 Fox St, San Fernando, CA 91340",https://www.laparks.org/park/fox-and-laurel-park,(818) 756-8189,7,34.2715727,-118.4461409
Outdoor Fitness,FRED ROBERTS RECREATION CENTER,"4700 South Honduras St., Los Angeles, CA 90011",https://www.laparks.org/reccenter/fred-roberts,(323) 234-8650,9,34.0009737,-118.2440674
Recreation Center,FRED ROBERTS RECREATION CENTER,"4700 South Honduras St., Los Angeles, CA 90011",https://www.laparks.org/reccenter/fred-roberts,(323) 234-8650,9,34.0009737,-118.2440674
Year Round Pool,FREMONT POOL,"7630 S. Towne Ave., Los Angeles, CA 90003",https://www.laparks.org/aquatic/year-round/fremont-pool,"(213) 847-3401,   (213) 847-3402",9,33.970619,-118.2673198
Banquet,FRIENDSHIP AUDITORIUM,"3201 Riverside Drive, Los Angeles, CA 90027",https://www.laparks.org/reservations/friendship-auditorium,(323) 665-1154,4,34.1140168,-118.2687035
Reservations,FRIENDSHIP AUDITORIUM,"3201 Riverside Drive, Los Angeles, CA 90027",https://www.laparks.org/reservations/friendship-auditorium,(323) 665-1154,4,34.1140168,-118.2687035
Parks,FULTON AVENUE PARK,"13255 Vanowen St., North Hollywood, CA 91605",https://www.laparks.org/park/fulton-avenue-park,(818) 756-8189,2,34.1941095,-118.4221098
Aquatic,Gaffey Street Pool,"3351 S. Gaffey St., San Pedro, CA 90731",https://www.laparks.org/aquatic/gaffey-street-pool,(323) 906-7953,15,33.7137396,-118.2928808
Outdoor Fitness,GAGE AND AVALON TRIANGLE POCKET PARK,"6301 SOUTH AVALON BOULEVARD LOS ANGELES, CA 90003",https://www.laparks.org/park/gage-and-avalon-triangle-pocket-park,(213) 485-1344,9,33.9821441,-118.265212
Parks,GAGE AND AVALON TRIANGLE POCKET PARK,"6301 SOUTH AVALON BOULEVARD LOS ANGELES, CA 90003",https://www.laparks.org/park/gage-and-avalon-triangle-pocket-park,(213) 485-1344,9,33.9821441,-118.265212
Outdoor Fitness,GARVANZA PARK,"6240 East Meridian Street, Los Angeles, CA 90042",https://www.laparks.org/park/garvanza,(213) 485-4833,14,34.120118,-118.179488
Parks,GARVANZA PARK,"6240 East Meridian Street, Los Angeles, CA 90042",https://www.laparks.org/park/garvanza,(213) 485-4833,14,34.120118,-118.179488
Skate Parks,GARVANZA SKATE PARK,"6240 Meridian St., Los Angeles, CA 90042",https://www.laparks.org/skatepark/garvanza-skate,(213) 485-4833,14,34.120106,-118.1813924
Outdoor Fitness,GENESEE AVENUE PARK,"2330 S. Genesee Ave., Los Angeles, CA 90019",https://www.laparks.org/park/genesee-avenue,(310) 836-1040,10,34.0370171,-118.3687341
Parks,GENESEE AVENUE PARK,"2330 S. Genesee Ave., Los Angeles, CA 90019",https://www.laparks.org/park/genesee-avenue,(310) 836-1040,10,34.0370171,-118.3687341
Skate Parks,GILBERT LINDSAY SKATE PARK,"429 East 42nd Place, Los Angeles, CA 90011",https://www.laparks.org/skatepark/gilbert-lindsay-skate,(310) 846-7584,9,34.0068021,-118.2657277
Outdoor Fitness,GILBERT W. LINDSAY RECREATION CENTER,"429 E. 42nd Place, Los Angeles, CA 90011",https://www.laparks.org/reccenter/gilbert-w-lindsay,(323) 846-7584,9,34.0066119,-118.2662796
Recreation Center,GILBERT W. LINDSAY RECREATION CENTER,"429 E. 42nd Place, Los Angeles, CA 90011",https://www.laparks.org/reccenter/gilbert-w-lindsay,(323) 846-7584,9,34.0066119,-118.2662796
Outdoor Fitness,GLADYS JEAN WESSON PARK (AKA WEST BOULEVARD),"2508 WEST BOULEVARD  LOS ANGELES , CA 90016",https://www.laparks.org/park/gladys-jean-wesson-park-aka-west-boulevard,(213) 485-4833,10,34.0334479,-118.340954
Parks,GLADYS JEAN WESSON PARK (AKA WEST BOULEVARD),"2508 WEST BOULEVARD  LOS ANGELES , CA 90016",https://www.laparks.org/park/gladys-jean-wesson-park-aka-west-boulevard,(213) 485-4833,10,34.0334479,-118.340954
Outdoor Fitness,Gladys Park,"6th & Gladys St., Los Angeles, CA 90021",https://www.laparks.org/park/6th-gladys-street,(213) 485-4833,14,34.0402804,-118.2424647
Parks,Gladys Park,"6th & Gladys St., Los Angeles, CA 90021",https://www.laparks.org/park/6th-gladys-street,(213) 485-4833,14,34.0402804,-118.2424647
Outdoor Fitness,Glassell Park,"3650 Verdugo Rd., Los Angeles, CA 90065",https://www.laparks.org/park/glassell,(323) 257-1863,1,34.1161069,-118.2336158
Parks,Glassell Park,"3650 Verdugo Rd., Los Angeles, CA 90065",https://www.laparks.org/park/glassell,(323) 257-1863,1,34.1161069,-118.2336158
Free Tennis,GLASSELL PARK RECREATION CENTER AND YOUTH CENTER,"3650 Verdugo Rd., Los Angeles, CA 90065",https://www.laparks.org/reccenter/glassellpark,(323) 257-1863,1,34.1161069,-118.2336158
Recreation Center,GLASSELL PARK RECREATION CENTER AND YOUTH CENTER,"3650 Verdugo Rd., Los Angeles, CA 90065",https://www.laparks.org/reccenter/glassellpark,(323) 257-1863,1,34.1161069,-118.2336158
Year Round Pool,GLASSELL POOL,"3704 Verdugo Rd., Los Angeles, CA 90065",https://www.laparks.org/aquatic/year-round/glassell-pool,(323) 226-1670,1,34.1169596,-118.2329884
Senior Citizen Centers,GLASSELL SENIOR CITIZEN CENTER,"3750 Verdugo Rd. Los Angeles, CA 90065",https://www.laparks.org/scc/glassell,(323) 550-8809,1,34.1178276,-118.2321544
Free Tennis,"BILL ROSENDAHL DEL REY PARK, Previously Glen Alla Park","4601 Alla Rd., Los Angeles, CA 90292",https://www.laparks.org/park/glen-alla,(310) 202-2803,11,33.984613,-118.431051
Parks,"BILL ROSENDAHL DEL REY PARK, Previously Glen Alla Park","4601 Alla Rd., Los Angeles, CA 90292",https://www.laparks.org/park/glen-alla,(310) 202-2803,11,33.984613,-118.431051
Playground,"BILL ROSENDAHL DEL REY PARK, Previously Glen Alla Park","4601 Alla Rd., Los Angeles, CA 90292",https://www.laparks.org/park/glen-alla,(310) 202-2803,11,33.984613,-118.431051
Parks,GLENHURST PARK,"2932 Glenhurst Ave., Los Angeles, CA 90039",https://www.laparks.org/park/glenhurst,(213) 485-4833,13,34.1106043,-118.2527657
Banquet,GRACE E. SIMONS LODGE,"1025 Elysian Park Drive, Los Angeles, CA 90012",https://www.laparks.org/reservations/grace-e-simons-lodge,(323) 665-1155,13,34.0865387,-118.2453809
Reservations,GRACE E. SIMONS LODGE,"1025 Elysian Park Drive, Los Angeles, CA 90012",https://www.laparks.org/reservations/grace-e-simons-lodge,(323) 665-1155,13,34.0865387,-118.2453809
Summer Pool,GRANADA HILLS POOL,"16730 Chatsworth St., Granada Hills, CA 91344",https://www.laparks.org/aquatic/summer/granada-hills-pool,(818) 360-7107,12,34.2647145,-118.4963753
Free Tennis,GRANADA HILLS RECREATION CENTER AKA PETIT PARK,"16730 Chatsworth St., Granada Hills, CA 91344",https://www.laparks.org/reccenter/granada-hills-recreation-center-aka-petit-park,(818) 363-3556,12,34.2636359,-118.4966524
Recreation Center,GRANADA HILLS RECREATION CENTER AKA PETIT PARK,"16730 Chatsworth St., Granada Hills, CA 91344",https://www.laparks.org/reccenter/granada-hills-recreation-center-aka-petit-park,(818) 363-3556,12,34.2636359,-118.4966524
Parks,Grand Hope Park,"919 S Grand Ave (Suite 102P), Los Angeles, CA 90015",https://www.laparks.org/park/grand-hope-park,,14,34.0441185,-118.2600399
Parks,GRAPE STREET POCKET PARK,"10726 Grape St., Los Angeles, CA 90059",https://www.laparks.org/park/grape-street-pocket,213-485-1344,15,33.9379266,-118.2367812
Parks,GREAYOR'S OAK MINI PARK,"3711 N Figueroa St., Los Angeles, CA 90065",https://www.laparks.org/park/greayers-oak-mini,(213) 485-4833,1,34.0909753,-118.2113248
Concert,GREEK THEATRE,"2700 N. Vermont Ave. Los Angeles, CA 90027",https://www.laparks.org/greek-theatre,(844) 524-7335,4,34.1205588,-118.2963915
Summer Pool,GREEN MEADOWS POOL,"431 E. 89th St., Los Angeles, CA 90003",https://www.laparks.org/aquatic/summer/green-meadows-pool,(323) 789-2726,9,33.9556031,-118.2670723
Free Tennis,GREEN MEADOWS RECREATION CENTER,"431 E. 89th St., Los Angeles, CA 90003",https://www.laparks.org/reccenter/green-meadows,(323) 565-4242,9,33.9556031,-118.2670723
Recreation Center,GREEN MEADOWS RECREATION CENTER,"431 E. 89th St., Los Angeles, CA 90003",https://www.laparks.org/reccenter/green-meadows,(323) 565-4242,9,33.9556031,-118.2670723
Parks,Greenwood Square Park,"14101 Sherman Way, Van Nuys, CA 91405",https://www.laparks.org/park/greenwood-square-park,,4,34.2014702,-118.4407557
Historic,Griffith Observatory,"2800 East Observatory Road Los Angeles, Ca 90027",https://www.laparks.org/historic/griffith-observatory,(213) 473-0800,4,34.1185357,-118.3004458
Parks,GRIFFITH PARK,"4730 Crystal Springs Drive, Los Angeles, CA 90027",https://www.laparks.org/park/griffith,(323) 913-4688,4,34.1328432,-118.2801644
Senior Citizen Centers,GRIFFITH PARK ADULT COMMUNITY CENTER,"3203 Riverside Drive. Los Angeles, CA 90027",https://www.laparks.org/scc/griffith-adult-community,(323) 644-5579,4,34.1140168,-118.2687035
Camp Pool,GRIFFITH PARK BOYS' CAMP,"4730 Crystal Springs Dr., Los Angeles, CA 90027",https://www.laparks.org/camp/griffith-park-boys-camp,(323) 664-0571,4,34.1425659,-118.2861657
Camps,GRIFFITH PARK BOYS' CAMP,"4730 Crystal Springs Dr., Los Angeles, CA 90027",https://www.laparks.org/camp/griffith-park-boys-camp,(323) 664-0571,4,34.1425659,-118.2861657
Dog Parks,GRIFFITH PARK DOG PARK,"Located at north end of the John Ferraro Soccer Field on North Zoo Drive, Los Angeles, CA 90027",https://www.laparks.org/dogpark/griffith,(818) 243-1145,4,34.155475,-118.2866441
Parks,GRIFFITH PARK FERRARO FIELDS,John Ferraro Athletic Fields,https://www.laparks.org/park/griffith-ferraro-fields,(818) 243-1145,4,34.1544482,-118.2829929
Summer Pool,GRIFFITH PARK POOL,"3401 Riverside Dr., Los Angeles, CA 90027",https://www.laparks.org/aquatic/summer/griffith-park-pool,(323) 644-6878,4,34.1166892,-118.2703285
Banquet,Griffith Park Visitor Center Auditorium,"4730 Crystal Springs Dr., Los Angeles, CA 90027",https://www.laparks.org/ranger/auditorium,(323) 665-1154,4,34.1425659,-118.2861657
Ranger,Griffith Park Visitor Center Auditorium,"4730 Crystal Springs Dr., Los Angeles, CA 90027",https://www.laparks.org/ranger/auditorium,(323) 665-1154,4,34.1425659,-118.2861657
Parks,Guardia Park (Formerly known as El Sereno North Park),"4410 Garden Homes Ave., Los Angeles. CA 90032",https://www.laparks.org/park/el-sereno-north,(213) 485-1310,14,34.0974129,-118.168416
Parks,HAINES CANYON PARK,"7021 Arama Avenue, Tujunga, CA 91042",https://www.laparks.org/park/haines-canyon,(818) 756-8189,2,34.237352,-118.283015
Fishing,HANSEN DAM AQUATIC CENTER,"11798 Foothill Blvd., Lake View Terrace, CA 91342",https://www.laparks.org/aquatic/year-round/hansen,(818) 899-3779 or (818) 899-2649,7,34.2713627,-118.3897596
Lake,HANSEN DAM AQUATIC CENTER,"11798 Foothill Blvd., Lake View Terrace, CA 91342",https://www.laparks.org/aquatic/year-round/hansen,(818) 899-3779 or (818) 899-2649,7,34.2713627,-118.3897596
Outdoor Fitness,HANSEN DAM AQUATIC CENTER,"11798 Foothill Blvd., Lake View Terrace, CA 91342",https://www.laparks.org/aquatic/year-round/hansen,(818) 899-3779 or (818) 899-2649,7,34.2713627,-118.3897596
