,DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
178,200104331,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2330,1,Central,157,2,624,BATTERY - SIMPLE ASSAULT,0416 0913,43,F,B,710.0,OTHER PREMISE,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500 S  SAN PEDRO                    ST,,34.0442,-118.2439
179,200104333,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,145,1,Central,119,2,888,TRESPASSING,0910 0329 2004,0,X,X,834.0,LA UNION STATION (NOT LINE SPECIFIC),,,IC,Invest Cont,888.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
180,200405489,02/07/2020 12:00:00 AM,02/06/2020 12:00:00 AM,2115,4,Hollenbeck,464,2,946,OTHER MISCELLANEOUS CRIME,0432 0913 1258,12,F,H,501.0,SINGLE FAMILY DWELLING,500.0,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,946.0,,,,200 N  SOTO                         ST,,34.0445,-118.2116
181,200104336,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2030,1,Central,185,2,647,THROWING OBJECT AT MOVING VEHICLE,1300 0447 0329 1822,43,M,H,101.0,STREET,306.0,ROCK/THROWN OBJECT,IC,Invest Cont,647.0,,,,HILL,PICO,34.0377,-118.2621
182,200104337,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,240,1,Central,163,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1218 2034 1822,59,M,B,102.0,SIDEWALK,,,IC,Invest Cont,440.0,,,,700 S  BROADWAY,,34.0452,-118.2534
183,200104339,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2045,1,Central,192,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1300 1822,34,F,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,1400 S  OLIVE                        ST,,34.0366,-118.2643
184,200104340,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2030,1,Central,195,1,310,BURGLARY,0344 1822,38,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,310.0,,,,1800 S  MAIN                         ST,,34.0317,-118.2641
185,200104351,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,100,1,Central,162,1,330,BURGLARY FROM VEHICLE,1606 0344,37,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,700 S  FIGUEROA                     ST,,34.0494,-118.2599
186,200104352,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2000,1,Central,153,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101.0,STREET,,,IC,Invest Cont,420.0,,,,SPRING                       ST,5TH                          ST,34.046,-118.2509
187,220314085,07/22/2022 12:00:00 AM,05/12/2020 12:00:00 AM,1110,3,Southwest,303,2,354,THEFT OF IDENTITY,0100,27,F,B,248.0,CELL PHONE STORE,,,IC,Invest Cont,354.0,,,,2500 S  SYCAMORE                     AV,,34.0335,-118.3537
188,200104360,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,755,1,Central,153,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1414 2004 0445 1822 2003,61,X,X,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,AA,Adult Arrest,230.0,,,,6TH                          ST,BROADWAY,34.047,-118.2526
189,210804296,01/08/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1025,8,West LA,808,2,940,EXTORTION,0337 1803,49,M,O,501.0,SINGLE FAMILY DWELLING,,,AO,Adult Other,940.0,,,,2200    SAN YSIDRO                   DR,,34.1114,-118.4245
190,200104369,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,930,1,Central,127,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1268 1822 0305 0411 1218,22,M,H,101.0,STREET,207.0,OTHER KNIFE,IC,Invest Cont,230.0,,,,COMMERCIAL                   ST,LOS ANGELES,34.0527,-118.2398
191,200104372,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,600,1,Central,111,1,330,BURGLARY FROM VEHICLE,1307 1822 0344,43,F,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,600 N  BROADWAY,,34.0586,-118.2402
192,200104377,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,2000,1,Central,163,2,624,BATTERY - SIMPLE ASSAULT,0448 0305 0913 0554,71,M,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,8TH,BROADWAY,34.0438,-118.2547
193,200104379,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1310,1,Central,119,2,624,BATTERY - SIMPLE ASSAULT,0910 0416 1822 1202,71,M,A,834.0,LA UNION STATION (NOT LINE SPECIFIC),400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,800 N  ALAMEDA                      ST,,34.0563,-118.2374
194,200104381,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1305,1,Central,159,1,510,VEHICLE - STOLEN,,0,,,108.0,PARKING LOT,,,IC,Invest Cont,510.0,,,,2000 E  7TH                          ST,,34.0387,-118.2335
195,200104382,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1230,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0344 2004,55,M,W,405.0,CLOTHING STORE,,,IC,Invest Cont,442.0,,,,700 S  FLOWER                       ST,,34.0487,-118.2588
196,200104385,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1450,1,Central,138,1,330,BURGLARY FROM VEHICLE,1822 1414 1307 0344 0329,19,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,4TH,ALAMEDA,34.0433,-118.2381
197,200104389,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1230,1,Central,154,1,330,BURGLARY FROM VEHICLE,1606 0344,68,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,W  5TH                          ST,S  SPRING                       ST,34.0474,-118.2496
198,200104390,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1458,1,Central,162,2,354,THEFT OF IDENTITY,0922 0935,38,F,H,602.0,BANK,,,IC,Invest Cont,354.0,,,,800 S  HILL                         ST,,34.0462,-118.2585
199,200104392,01/06/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1830,1,Central,153,1,480,BIKE - STOLEN,1822 0910 0344 0345 2049,48,M,B,801.0,MTA BUS,,,IC,Invest Cont,480.0,,,,6TH,HILL,34.0474,-118.2531
200,200104393,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1330,1,Central,166,2,624,BATTERY - SIMPLE ASSAULT,0305 0416 1822,69,F,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,7TH,SAN PEDRO,34.0407,-118.2468
201,210916323,11/09/2021 12:00:00 AM,11/09/2020 12:00:00 AM,800,9,Van Nuys,926,2,810,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",0533 1259,14,F,H,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,810.0,,,,6400    CALHOUN                      AV,,34.1867,-118.4422
202,211015836,12/20/2021 12:00:00 AM,02/13/2020 12:00:00 AM,1425,10,West Valley,1029,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906 1802,37,M,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,956.0,,,,7100    WOODLEY                      AV,,34.1994,-118.4837
203,200716179,11/20/2020 12:00:00 AM,11/17/2020 12:00:00 AM,1550,7,Wilshire,724,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325,26,M,H,203.0,OTHER BUSINESS,,,AA,Adult Arrest,442.0,,,,100    THE GROVE                    DR,,34.0747,-118.3563
204,200104406,01/06/2020 12:00:00 AM,01/04/2020 12:00:00 AM,1300,1,Central,131,1,330,BURGLARY FROM VEHICLE,0329 0344 1609 1307,50,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,100 S  FIGUEROA                     ST,,34.0569,-118.254
205,200104408,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2200,1,Central,152,2,624,BATTERY - SIMPLE ASSAULT,0910 0416 2034 1822,13,M,B,931.0,MTA - BLUE LINE - 7TH AND METRO CENTER,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600 S  FIGUEROA                     ST,,34.0509,-118.2585
206,200104410,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,920,1,Central,195,2,662,"BUNCO, GRAND THEFT",0701,61,M,H,203.0,OTHER BUSINESS,,,IC,Invest Cont,662.0,,,,100 E  17TH                         ST,,34.0329,-118.2632
207,200104411,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2300,1,Central,182,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,1000 S  GRAND                        AV,,34.043,-118.2606
208,201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,6100    DELPHI                       ST,,34.1241,-118.1878
209,200104414,01/06/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1900,1,Central,162,1,330,BURGLARY FROM VEHICLE,0344 1307 1609 1212 1822,26,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,700 S  GRAND                        AV,,34.0473,-118.2566
210,200104416,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1930,1,Central,143,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0443 1822,26,F,H,403.0,DRUG STORE,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,400 S  BROADWAY,,34.0495,-118.2494
211,200104417,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2100,1,Central,182,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 0319 1276 1414 1813 2000 0444 0416,26,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,236.0,,,,1200 S  FIGUEROA                     ST,,34.0423,-118.2666
212,200104419,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2230,1,Central,161,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1822 0344 2032,45,M,H,404.0,DEPARTMENT STORE,,,IC,Invest Cont,440.0,,,,700 S  FIGUEROA                     ST,,34.0483,-118.2631
213,200104420,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,100,1,Central,162,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329,36,F,H,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,745.0,,,,8TH,OLIVE,34.0452,-118.2569
214,201216796,07/20/2020 12:00:00 AM,07/19/2020 12:00:00 AM,2330,12,77th Street,1243,2,624,BATTERY - SIMPLE ASSAULT,0400 0913 1817,45,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624.0,,,,65TH                         ST,VAN NESS                     AV,33.98,-118.3177
215,200104422,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1800,1,Central,192,1,330,BURGLARY FROM VEHICLE,0377 1822 0329 0344 1307 1609,24,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,14TH,OLIVE,34.037,-118.2651
216,200618970,12/08/2020 12:00:00 AM,11/30/2020 12:00:00 AM,1100,6,Hollywood,678,2,922,CHILD STEALING,0602 0553 1257 0913,0,M,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,922.0,,,,900 N  SERRANO                      AV,,34.0862,-118.3064
217,200104429,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1900,1,Central,111,2,888,TRESPASSING,1501 2004,0,M,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,888.0,,,,00    OLVERA                       ST,,34.0569,-118.2385
218,200104430,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,955,1,Central,162,1,480,BIKE - STOLEN,1822 1608 0344,50,M,W,102.0,SIDEWALK,,,IC,Invest Cont,480.0,,,,7TH                          ST,FIGUEROA,34.0494,-118.2599
219,200104431,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1900,1,Central,134,1,330,BURGLARY FROM VEHICLE,1307 1822 0329 1609 0344,25,F,H,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,300 S  BROADWAY,,34.051,-118.248
220,200104432,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1400,1,Central,134,1,440,THEFT PLAIN - PETTY ($950 & UNDER),2032 1822 0344,27,M,W,402.0,MARKET,,,IC,Invest Cont,440.0,,,,300 S  BROADWAY,,34.051,-118.248
221,201822182,12/15/2020 12:00:00 AM,12/09/2020 12:00:00 AM,2100,18,Southeast,1849,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0552 0602 0503 0522 0551 1258,10,F,H,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812.0,860.0,,,2200 E  115TH                        ST,,33.9297,-118.2335
222,200104435,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1900,1,Central,138,1,330,BURGLARY FROM VEHICLE,1609 0344,33,M,A,101.0,STREET,,,IC,Invest Cont,330.0,,,,4TH                          ST,CENTRAL,34.0438,-118.2397
223,200104440,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,121,1,Central,182,1,330,BURGLARY FROM VEHICLE,1307 0329 1822 1609 0344,53,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,12TH,FLOWER,34.0415,-118.2654
224,200104443,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2030,1,Central,176,1,330,BURGLARY FROM VEHICLE,1609 0344,38,F,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,8TH                          ST,MAPLE,34.0408,-118.2511
225,200104444,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,100,1,Central,185,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,23,M,W,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,11TH                         ST,MAIN                         ST,34.0387,-118.2576
226,200104449,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,735,1,Central,147,2,624,BATTERY - SIMPLE ASSAULT,1218 0447 1822 1202,74,M,B,102.0,SIDEWALK,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624.0,,,,300 E  5TH                          ST,,34.0453,-118.2443
227,200104450,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,905,1,Central,165,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 0910,0,X,X,101.0,STREET,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,740.0,,,,6TH,WALL,34.0435,-118.2471
228,200104451,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,745,1,Central,124,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0329 1822 1414,0,X,X,102.0,SIDEWALK,,,IC,Invest Cont,740.0,,,,1ST                          ST,MAIN                         ST,34.0522,-118.2434
229,200104452,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,920,1,Central,192,2,624,BATTERY - SIMPLE ASSAULT,0444 1266 1822 1300,23,M,H,108.0,PARKING LOT,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,200 W  WASHINGTON                   BL,,34.0363,-118.2672
230,200104455,01/06/2020 12:00:00 AM,01/06/2020 12:00:00 AM,400,1,Central,161,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,26,F,B,101.0,STREET,,,IC,Invest Cont,330.0,,,,800    JAMES M WOOD                 BL,,34.0483,-118.2631
231,200104456,01/06/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1300,1,Central,152,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1606 1822,0,X,X,116.0,OTHER/OUTSIDE,,,IC,Invest Cont,341.0,,,,400 W  7TH                          ST,,34.0491,-118.2558
232,200104459,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1940,1,Central,181,1,330,BURGLARY FROM VEHICLE,1609 0344 1307 0329 1822,23,M,B,741.0,STAPLES CENTER *,,,IC,Invest Cont,330.0,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
233,200816519,11/16/2020 12:00:00 AM,11/16/2020 12:00:00 AM,830,8,West LA,803,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 0913 0400 0408 1813,49,F,O,501.0,SINGLE FAMILY DWELLING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236.0,,,,13500    D ESTE                       DR,,34.0571,-118.4978
234,200104462,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1758,1,Central,161,1,480,BIKE - STOLEN,0344 1822,57,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,480.0,,,,900 W  8TH                          ST,,34.0479,-118.2612
235,200104466,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1020,1,Central,165,2,860,BATTERY WITH SEXUAL CONTACT,0551 2004 1402,40,F,B,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860.0,998.0,,,6TH                          ST,MAPLE,34.0439,-118.2479
236,200104470,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1930,1,Central,128,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,25,F,H,710.0,OTHER PREMISE,,,IC,Invest Cont,440.0,,,,300 E  2ND                          ST,,34.0498,-118.24
237,220404852,01/28/2022 12:00:00 AM,12/27/2020 12:00:00 AM,1200,4,Hollenbeck,439,2,946,OTHER MISCELLANEOUS CRIME,1501,0,M,H,501.0,SINGLE FAMILY DWELLING,511.0,VERBAL THREAT,IC,Invest Cont,946.0,,,,2200    LILLYVALE                    AV,,34.0711,-118.1643
238,200104474,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1830,1,Central,162,2,888,TRESPASSING,2004 1501,34,F,B,404.0,DEPARTMENT STORE,,,IC,Invest Cont,888.0,,,,700 S  FLOWER                       ST,,34.0487,-118.2588
239,200104475,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,900,1,Central,159,2,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1300 0329 1822,35,M,W,101.0,STREET,,,IC,Invest Cont,740.0,,,,400    SEATON                       ST,,34.0433,-118.2377
240,200104476,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,2130,1,Central,105,1,330,BURGLARY FROM VEHICLE,1609 1307 1822 0329 0344,38,M,B,108.0,PARKING LOT,,,IC,Invest Cont,330.0,,,,1000 N  BROADWAY,,34.0714,-118.2329
241,200104477,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1500,1,Central,118,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,,29,F,B,102.0,SIDEWALK,511.0,VERBAL THREAT,IC,Invest Cont,930.0,,,,1300    MAGDALENA                    ST,,34.0635,-118.2313
242,200104488,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,430,1,Central,119,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0910 0104 1822 2004 0344,24,M,B,252.0,"COFFEE SHOP (STARBUCKS, COFFEE BEAN, PEET'S, ETC.)",,,IC,Invest Cont,442.0,,,,00    GATEWAY PLAZA                DR,,34.0551,-118.2323
243,200104489,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,800,1,Central,152,2,624,BATTERY - SIMPLE ASSAULT,0416 1822,26,F,H,101.0,STREET,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,600    WILSHIRE                     BL,,34.048,-118.256
244,200517465,12/05/2020 12:00:00 AM,11/30/2020 12:00:00 AM,400,5,Harbor,564,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0329 1236 1300 1309,0,X,X,707.0,GARAGE/CARPORT,,,AA,Adult Arrest,745.0,,,,600 S  PALOS VERDES                 ST,,33.7379,-118.2814
245,200104498,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,2140,1,Central,123,1,220,ATTEMPTED ROBBERY,1822 1019 0416 2004,56,M,W,102.0,SIDEWALK,212.0,BOTTLE,IC,Invest Cont,220.0,,,,1ST,SPRING                       ST,34.053,-118.2444
246,200104499,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1900,1,Central,111,1,330,BURGLARY FROM VEHICLE,1609 0344,26,M,W,101.0,STREET,,,IC,Invest Cont,330.0,,,,500 N  FIGUEROA                     ST,,34.0617,-118.2469
247,200104500,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,2000,1,Central,153,2,625,OTHER ASSAULT,0356 1822 1266,47,M,B,203.0,OTHER BUSINESS,500.0,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,625.0,,,,5TH                          ST,BROADWAY,34.0481,-118.2507
248,200104501,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,315,1,Central,171,1,350,"THEFT, PERSON",0448 0344 2000 1814 2002 0421,29,F,H,123.0,PARKING UNDERGROUND/BUILDING,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,350.0,,,,GEORGIA                      ST,WEST                         RD,34.0457,-118.2665
249,200104503,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,117,1,Central,181,2,755,BOMB SCARE,0404 1822,29,M,H,741.0,STAPLES CENTER *,511.0,VERBAL THREAT,IC,Invest Cont,755.0,,,,1100 S  FIGUEROA                     ST,,34.0431,-118.2692
250,200104505,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1917,1,Central,162,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 2004,0,X,X,404.0,DEPARTMENT STORE,,,IC,Invest Cont,442.0,,,,700 W  7TH                          ST,,34.048,-118.2577
251,221004913,01/25/2022 12:00:00 AM,09/01/2020 12:00:00 AM,1700,10,West Valley,1067,2,354,THEFT OF IDENTITY,1822 0930,45,F,W,203.0,OTHER BUSINESS,,,IC,Invest Cont,354.0,,,,5200    GENESTA                      AV,,34.166,-118.5033
252,200104511,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,400,1,Central,154,1,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,0913 1414 0416 1402 2000 1814 1218 2004,38,M,B,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",302.0,BLUNT INSTRUMENT,AA,Adult Arrest,236.0,998.0,,,500 S  SPRING                       ST,,34.0474,-118.2496
253,200104513,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,2000,1,Central,101,1,510,VEHICLE - STOLEN,,0,,,101.0,STREET,,,IC,Invest Cont,510.0,,,,ALPINE                       ST,CENTENNIAL                   ST,34.0652,-118.2468
254,200104522,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,2020,1,Central,162,1,330,BURGLARY FROM VEHICLE,0344 1822 1601,32,M,W,123.0,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,330.0,,,,700 W  7TH                          ST,,34.048,-118.2577
255,200104524,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,100,1,Central,182,2,624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 2034,30,M,W,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,12TH                         ST,WALL                         ST,34.042,-118.2625
256,200104526,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1500,1,Central,154,2,624,BATTERY - SIMPLE ASSAULT,0444 0429 1822 1202 2004,62,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,100 E  5TH                          ST,,34.0467,-118.2485
257,200104527,01/08/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1000,1,Central,147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 1202 2032 0377 1822 1218,71,M,H,517.0,MISSIONS/SHELTERS,,,IC,Invest Cont,440.0,,,,300 E  5TH                          ST,,34.0453,-118.2443
258,200104534,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,950,1,Central,156,2,624,BATTERY - SIMPLE ASSAULT,0416 1218 1822 0913,53,M,B,102.0,SIDEWALK,400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,624.0,,,,500    WALL                         ST,,34.0449,-118.2458
259,200104545,01/07/2020 12:00:00 AM,01/02/2020 12:00:00 AM,510,1,Central,192,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2032 0344,31,M,B,122.0,"VEHICLE, PASSENGER/TRUCK",,,IC,Invest Cont,341.0,,,,PICO                         BL,GRAND,34.0389,-118.2643
260,200709456,05/20/2020 12:00:00 AM,05/20/2020 12:00:00 AM,1250,7,Wilshire,773,1,330,BURGLARY FROM VEHICLE,1300 1309 1607 0344 0326,53,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,330.0,,,,1800 S  COCHRAN                      AV,,34.0443,-118.3538
261,200104547,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1753,1,Central,182,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344 1607 1822 1606,0,M,O,118.0,CONSTRUCTION SITE,,,IC,Invest Cont,341.0,,,,1100 S  HOPE                         ST,,34.0423,-118.2631
262,200104548,01/07/2020 12:00:00 AM,01/06/2020 12:00:00 AM,1730,1,Central,159,1,440,THEFT PLAIN - PETTY ($950 & UNDER),0344 2032,49,M,A,210.0,RESTAURANT/FAST FOOD,,,IC,Invest Cont,440.0,,,,400 S  HEWITT                       ST,,34.0436,-118.2354
263,200104549,01/08/2020 12:00:00 AM,01/06/2020 12:00:00 AM,100,1,Central,147,1,440,THEFT PLAIN - PETTY ($950 & UNDER),1218 0344 2034,38,M,B,101.0,STREET,,,IC,Invest Cont,440.0,,,,4TH                          ST,WALL,34.0458,-118.243
